Name,Hash,Notes
J Dilla - Workinonit,5nO7IA1DeeI,
Playboi Carti - Location,39XR4EXFz5Y,
Jamie xx - All Under One Roof Raving,wk28cgCG3Ho,
Dylan Brady - Key of C,2ovMB4lbeVY,
bladee & Ecco2k - Girls Just Want To Have Fun,EgIQQlIeOWM,
Sarah Mary Chadwick - Don't Like You Talking,JH8DRg-yy_8,
SOPHIE - JUST LIKE WE NEVER SAID GOODBYE,6Z3N79ktprw,
Sharon Van Etten - Jupiter 4,7J5bPonJsD0,
KOOL A.D. - Prove It,E2JMMy5p_FQ,
The xx - On Hold (Jamie xx remix),IYvEhgYy35I,
Teddy Burns - Dee Ode,Ivzj2Aa3at4,
The Pharcyde - Passin' Me By,DEJxtwrAhsc,
KAYTRANADA - VIVID DREAMS,Aj0929mk2Yo,The breakdown on this song gets me high bro. I'M FALLIN AND I CAN'T DENY IT
Ty Segall - Imaginary Person,Yj7oo_iLp9Q,
Grimes - Pin,00y4nF9DyyM,
Jamie xx - SeeSaw,qVjrBQKMdGA,
Post Animal - Hoverin' All Night,lqN8OyzFNeY,
Fuzz - Loose Sutures,b5xRq5f1kCU,
The Nields - Easy People,V2iS3tYZ4VA,
Blood Orange - Hands Up,CBpqtvgbhXY,This album got me through a couple all-nighters in college. I remember skating back home as the sun came up to this song.
Charli XCX - Track 10,Rj6dwEBmBJA,
Playboi Carti - Kelly K,oQ8BJAF0GX4,
Gigi D'Agostino - L'Amour Toujours,w15oWDh02K4,
Charlie - Spacer Woman,nZDPCjEoIMI,
Floating Points - King Bromeliad,e4RZct-AEUI,
Lusine - Just A Cloud,sg8w4P9TCwo,
Portishead - The Rip,artaYKPCt_E,
Claude Debussy - Clair De Lune,CvFH_6DNRCY,
Kodak Black ft. Plies - Heart Mind,0gHT5U3h4ho,
Soulja Boy - Kiss Me Thru The Phone,LU8aRDRrrh0,
XXXTENTACION - MOONLIGHT,GX8Hg6kWQYI,
Death Grips - I've Seen Footage,3_V_2BFWahc,
100 gecs - Can U Hear Me Now,xuMKcl3OwHA,
100 gecs - 800db cloud,B6tFRzt-QvA,
Fetty Wap - Trap Queen,bIR5tBW5hlQ,
Perfume Genius - Jason,_vaXpIDR0iU,
A$AP Rocky - A$AP Forever,BNzc6hG3yN4,
Arca - Time,O01nEvJEK1E,
Joe Jackson - Steppin' Out,FesaQTKcfhg,
The Mamas & The Papas - California Dreamin',N-aK6JnyFmk,
070 Shake - Honey,fEuW_WstE2s,
Dorian Electra - Career Boy,YlWWL2VX5qQ,
Daft Punk - Contact,JI5noh4OyXc,
Ty Segall - Another Hustle,RgQrS8qg50o,
Ty Segall - My Head Explodes,MeobGb1179U,
Ty Segall and Mikal Cronin - High School,Yzii5Ioii_w,
Fuzz - Burning Wreath,OTaP7T7mvKw,
Grimes & i_o - Violence,YD60plyvsYo,
Lorde - California,Tu7K-ausdCY,
Celo & Abdi - BESUCHSTAG (visiting day),6FqlENf1jZc,"God, this is so sad and beautiful. I'm glad I studied german if only to understand this song. At some point I'll do a full translation on this site. ""Mutter ist im Knast heute zu Besuch"" = Mother's visiting me in prison today."
100 gecs - toothless,yTSaumGzshE,
100 gecs- torture me,EpnLkShCsZ0,
Dorian Electra - F The World (Acoustic),gATl7UAMIH0,
knxwledge ft. Young Thug - team[SRF],52EzZkp8mBk,
Kreayshawn - Go Hard (La.La.La),KleUddM2IPw,
The xx - Crystalised,-Jp2wNF1rkM,
Santigold - I Don't Want,qUNuFrhcOvY,Makes me cry every time.
King Gizzard and the Lizard Wizard - Work This Time,QDqgyxw0igs,
Disclosure ft. AlunaGeorge - White Noise,fxxe6QzDvKs,
Lil Yachty - Minnesota (Remix),-ZTsPVcuIG8,
Clairo - Bags,L9HYJbe9Y18,
Grimes - New Gods,smsZGAUGHtg,
SAINt JHN - Roses (Imanbek Remix),ele2DMU49Jk,
Boney M. - Daddy Cool,FYGTT7YhywA,
Gil Scott-Heron - Angel Dust,hWitRABYVBk,
Headie One and Skepta - Back to Basics (Floating Points remix),DE_BhUB82Js,Gonna go ahead and blame this song for my speeding ticket
Waka Flocka Flame - Hard in Da Paint,3rFpYrrhJpQ,
Eric Prydz - Opus,iRA82xLsb_w,
deadmau5 - Strobe,tKi9Z-f6qX4,
cade parker - fe3,i7vSyb0LZTg,
YG feat. Drake and Kamaiyah - Why You Always Hatin?,n1CLmap_CVU,
Santigold and U-Roy - Man Next Door,1JKwjX_3Xfg,
Donna Summer - I Feel Love,6S2n5Tbq_0s,
Disclosure ft. Amine and slowthai - MY HIGH,b3S7k-zfIQM,
Jamie xx - KILL DEM,6NLEp6awMQQ,This guy's speakin my language!
Aphex Twin - Rhubarb,_AWIqXzvX-U,
Sharon Van Etten - I Know,xeMUPJ5diIs,
Caribou - Odessa,Yq_tDOFU5tY,
Tenacious D - Señorita,XbmR3oHZ4NM,
Lil Yachty - Poland,s9PzYuVwCSE,
Disclosure - Control (Joe Goddard Remix),ofCkOKtyjPE,let! me! catch! my breath
Oliver Sim - GMT (Jamie xx Remix),HOmqPVZSzNg,
Shuzo Matsuoka: Are you just living day to day?,iEIqVq7EZqE,
Kodak Black - Twenty 8,r-w5ZmqN4aI,
Herbie Hancock - Chameleon,WYRrIBqKsJ4,
yally - Party Party (TikTok Remix),tXR7ETCX8XQ,
Scala - Perfect Day (Lou Reed cover),YlNYlfmEYRs,"havin kids singin bout the shit, now the joke's on you!"
Janelle Monáe - So Afraid,zmG0LAbcmuM,
Mitski - Washing Machine Heart,-047ko4v05s,
Teddy Burns - Dixie's Song,7W_1ugSI9xs,
Cyndi Lauper - I Drove All Night,2y1TZXc5DiY,
Four Tet - I've Got Feelings,qOwez3jrbWM,
"Skrillex, Noisia, josh pan & Dylan Brady - Supersonic (My Existence)",U41bONK2V-U,
Stormzy - Wiley Flow (Phiney Bassline Mix),gDlfoaEi6d0,
Matisyahu - King Without A Crown,dsFpUW48Tnc,
MCR-T & horsegiirL - My Barn My Rules,bqsWEiruFQE,
Skream b2b Disclosure Boiler Room DJ Set at W Hotel London,e8WVP3ClDsM,
Skrillex & Hamdi ft. Taichu - Push & Pull ID (Coachella 2023),c5_iH1-ITxI,
FISHER - TAKE IT OFF,KT8UPhY1avk,
Eliza Rose - B.O.T.A. (Baddest Of Them All),YvlhbCh-pnA,
